apprehension_criminality,month,apprehension_state,n
2 Pending Criminal Charges,2024-01-01,WASHINGTON,4
2 Pending Criminal Charges,2024-01-01,NA,2
2 Pending Criminal Charges,2024-02-01,WASHINGTON,7
2 Pending Criminal Charges,2024-02-01,NA,4
2 Pending Criminal Charges,2024-03-01,WASHINGTON,7
2 Pending Criminal Charges,2024-03-01,NA,1
2 Pending Criminal Charges,2024-04-01,OREGON,2
2 Pending Criminal Charges,2024-04-01,WASHINGTON,2
2 Pending Criminal Charges,2024-04-01,NA,6
2 Pending Criminal Charges,2024-05-01,OREGON,1
2 Pending Criminal Charges,2024-05-01,WASHINGTON,6
2 Pending Criminal Charges,2024-05-01,NA,4
2 Pending Criminal Charges,2024-06-01,WASHINGTON,2
2 Pending Criminal Charges,2024-07-01,WASHINGTON,6
2 Pending Criminal Charges,2024-07-01,NA,3
2 Pending Criminal Charges,2024-08-01,OREGON,1
2 Pending Criminal Charges,2024-08-01,WASHINGTON,2
2 Pending Criminal Charges,2024-08-01,NA,6
2 Pending Criminal Charges,2024-09-01,OREGON,2
2 Pending Criminal Charges,2024-09-01,WASHINGTON,6
2 Pending Criminal Charges,2024-10-01,ALASKA,1
2 Pending Criminal Charges,2024-10-01,OREGON,1
2 Pending Criminal Charges,2024-10-01,WASHINGTON,2
2 Pending Criminal Charges,2024-10-01,NA,3
2 Pending Criminal Charges,2024-11-01,OREGON,1
2 Pending Criminal Charges,2024-11-01,WASHINGTON,2
2 Pending Criminal Charges,2024-11-01,NA,1
2 Pending Criminal Charges,2024-12-01,WASHINGTON,1
2 Pending Criminal Charges,2024-12-01,NA,2
2 Pending Criminal Charges,2025-01-01,ALASKA,1
2 Pending Criminal Charges,2025-01-01,OREGON,4
2 Pending Criminal Charges,2025-01-01,WASHINGTON,12
2 Pending Criminal Charges,2025-01-01,NA,11
2 Pending Criminal Charges,2025-02-01,ALASKA,2
2 Pending Criminal Charges,2025-02-01,OREGON,9
2 Pending Criminal Charges,2025-02-01,WASHINGTON,24
2 Pending Criminal Charges,2025-02-01,NA,9
2 Pending Criminal Charges,2025-03-01,OREGON,1
2 Pending Criminal Charges,2025-03-01,WASHINGTON,23
2 Pending Criminal Charges,2025-03-01,NA,4
2 Pending Criminal Charges,2025-04-01,ALASKA,1
2 Pending Criminal Charges,2025-04-01,OREGON,1
2 Pending Criminal Charges,2025-04-01,WASHINGTON,19
2 Pending Criminal Charges,2025-04-01,NA,11
2 Pending Criminal Charges,2025-05-01,ALASKA,4
2 Pending Criminal Charges,2025-05-01,OREGON,8
2 Pending Criminal Charges,2025-05-01,WASHINGTON,22
2 Pending Criminal Charges,2025-05-01,NA,14
2 Pending Criminal Charges,2025-06-01,OREGON,24
