detention_facility_code,detention_facility,area_of_responsibility
BWEPATX,BEST WESTERN CASA DE ESTRELLA,NA
BWMARCA,BEST WESTERN MARINA,NA
BWRGMTX,BEST WEST ROSE GRDN I&S,NA
BXCHSNY,BRONXCARE HEALTH SYSTEM,New York City Area of Responsibility
CACCJAM,SCC/JAMESTOWN,San Francisco Area of Responsibility
CACFBAK,BAKER CCF,Los Angeles Area of Responsibility
CACFDON,RJ DONOVAN CORREC FAC,San Diego Area of Responsibility
CACFLEO,CCF/LEO CHESNEY,San Francisco Area of Responsibility
CACFMCF,MCFARLAND CCF,NA
CACFMES,MESA VERDE ICE PROCESSING CENTER,San Francisco Area of Responsibility
CACHEUT,CACHE CO. JAIL,Salt Lake City Area of Responsibility
CACTYCA,CALIFORNIA CITY CORECTIONS CENTER,NA
CADCCAL,CDC CALIPATRIA IHP,San Diego Area of Responsibility
CADESVI,DESERT VIEW ANNEX,Los Angeles Area of Responsibility
CAIRONW,IRONWOOD STATE PRISON,Los Angeles Area of Responsibility
CAJUVMN,CARVER CO. JUVY DETENTION,St. Paul Area of Responsibility
CALDWMO,CALDWELL COUNTY JAIL,Chicago Area of Responsibility
CALHOMI,"CALHOUN CO., BATTLE CR,MI",Detroit Area of Responsibility
CAMBRPA,"CAMBRIA COUNTY JAIL, PA",Philadelphia Area of Responsibility
CAMEDAZ,CENTRAL ARIZONA MEDICAL,Phoenix Area of Responsibility
CAMENCE,"CALIF. MEN COLONY, EAST",Los Angeles Area of Responsibility
CAMENCW,"CALIF. MEN COLONY, WEST",Los Angeles Area of Responsibility
CAMERTX,CAMERON COUNTY JAIL,Harlingen Area of Responsibility
CARBOPA,CARBON COUNTY CORRECTIONL,Philadelphia Area of Responsibility
CARDFVA,CAROLINE DETENTION FACILITY,Washington Area of Responsibility
CARJAMN,CARVER COUNTY JAIL,St. Paul Area of Responsibility
CARROMD,CARROLL COUNTY DETENTION CENTER,NA
CASCAMT,"CASCADE COUNTY JAIL, MT",Salt Lake City Area of Responsibility
CASPSAC,CSP-SACRAMENTO,San Francisco Area of Responsibility
CASSCND,CASS COUNTY JAIL,St. Paul Area of Responsibility
CASSCNE,CASS COUNTY JAIL,St. Paul Area of Responsibility
CASSJCA,CASA SAN JUAN,San Diego Area of Responsibility
CATAHLA,CATAHOULA CORRECTIONAL CENTER,New Orleans Area of Responsibility
CATTANY,CATTARAUGUS COUNTY JAIL,New York City Area of Responsibility
CAWVALL,WEST VALLEY,NA
CAYUGNY,CAYUGA COUNTY JAIL,New York City Area of Responsibility
CBENDTX,COASTAL BEND DET. FACILITY,Harlingen Area of Responsibility
CBRRSNC,Cabarrus County Jail,Atlanta Area of Responsibility
CCADCAZ,CCA CENT.AZ.DET.CTR.,Phoenix Area of Responsibility
CCAFLAZ,"CCA, FLORENCE CORRECTIONAL CENTER",Phoenix Area of Responsibility
CCAHUTX,T DON HUTTO DETENTION CENTER,San Antonio Area of Responsibility
CCANOOH,CCA NORTHEAST OH CORRECTS,Detroit Area of Responsibility
CCASDCA,OTAY MESA DETENTION CENTER,San Diego Area of Responsibility
CCCSSTX,CHRISTUS SPOHN HOSP CC - SOUTH,Harlingen Area of Responsibility
CCHHSIL,COOK COUNTY HOSPITAL-JHS,NA
CCHRTTX,CEDAR CREST HOSP TREAT,San Antonio Area of Responsibility
CEMEDFL,CEDARS MEDICAL CENTER,Miami Area of Responsibility
CENTRWV,(OLD) CENTRAL REGIONAL JAIL,Philadelphia Area of Responsibility
CGRMCAZ,CASA GRANDE REG. MED. CENTER,Phoenix Area of Responsibility
CHACONY,CHAUTAUQUA COUNTY JAIL,Buffalo Area of Responsibility
CHAHOLD,CHARLOTTE AMALIE HOLDROOM,Miami Area of Responsibility
CHANRAZ,CHANDLER REG MED CTR,Phoenix Area of Responsibility
CHARLSC,CHARLESTON COUNTY CORRECT,NA
CHASEKS,CHASE COUNTY JAIL,Chicago Area of Responsibility
CHATHGA,CHATHAM CO JAIL,Atlanta Area of Responsibility
CHAVENM,CHAVEZ DET CRT,El Paso Area of Responsibility
CHELAWA,CHELAN CO. REGIONAL JAIL,Seattle Area of Responsibility
CHEMUNY,CHEMUNG COUNTY JAIL,New York City Area of Responsibility
CHENANY,CHENANGO COUNTY JAIL,New York City Area of Responsibility
CHEROOK,CHEROKEE COUNTY JAIL,Dallas Area of Responsibility
CHFLDVA,CHESTERFIELD CO. JAIL,Washington Area of Responsibility
CHIHMIA,CHI HEALTH MERCY COUNCIL BLUFFS,St. Paul Area of Responsibility
CHIHOLD,CHICAGO HOLD ROOM,Chicago Area of Responsibility
CHIPPMI,"CHIPPEWA CO., SSM",Detroit Area of Responsibility
CHISLTX,CHI ST LUKE'S HEALTH MEM,Houston Area of Responsibility
CHLHOLD,"CHARLESTON, SC HOLD ROOM",NA
CHMCINY,COURTHOUSE USM CNTL ISLIP,NA
CHMHOLD,CHAMPLAIN HOLD ROOM,NA
CHRISMO,CHRISTIAN CO SHERIFF DEPT,Chicago Area of Responsibility
CHRLTFL,CHARLOTTE COUNTY JAIL,Miami Area of Responsibility
CHYHOLD,CHEYENNE HOLDROOM,Denver Area of Responsibility
CIBOCNM,CIBOLA COUNTY CORRECTIONAL CENTER,El Paso Area of Responsibility
CIBOGNM,CIBOLA GENERAL HOSPITAL,El Paso Area of Responsibility
CIBOLNM,CIBOLA COUNTY DET CTR,El Paso Area of Responsibility
CINHOLD,CINCINNATI HOLDROOM,Detroit Area of Responsibility
CIPHOLD,CENTRAL ISLIP HOLD ROOM,NA
CISAETX,COMFORT INN STE ELP AIRP,NA
CISEPTX,COMFORT SUITES CASA CONSUELO,El Paso Area of Responsibility
CISPVLA,COUNTY INN & STE BY RAD,NA
CKHOSFL,HCA FLORIDA KENDALL HOSPITAL,Miami Area of Responsibility
CLAYCIN,CLAY COUNTY JUSTICE CENTER,Chicago Area of Responsibility
CLEHOLD,CLEVELAND HOLD ROOM,Detroit Area of Responsibility
CLICONY,CLINTON COUNTY JAIL,NA
CLINTPA,CLINTON COUNTY CORR. FAC.,Philadelphia Area of Responsibility
CLMHOLD,COLUMBUS HOLDROOM,Detroit Area of Responsibility
CLTHOLD,CHARLOTTE HOLD ROOM,Atlanta Area of Responsibility
CMDHOLD,BATAVIA COMMAND CENTER HOLDROOM,Buffalo Area of Responsibility
CMEDHPR,CENTRO MEDICO HOSPITAL,Miami Area of Responsibility
CMPJVNY,COMPASS HOUSE SHELTER,New York City Area of Responsibility
CNGHOLD,CHATTANOOGA HOLD ROOM,New Orleans Area of Responsibility
CNTGRIL,CENTEGRA HOSPITAL,NA
COAHOLD,"COLUMBIA, SC HOLDROOM",NA
COBBJGA,COBB CO SHERIFFS OFC ADULT DET CTR,Atlanta Area of Responsibility
COCHIAZ,COCHISE CO JAIL BISBEE AZ,Phoenix Area of Responsibility
COCONAZ,COCONINO CO DETENTION FACILITY,Phoenix Area of Responsibility
COLCASC,COLUMBIA CARE CENTER,Atlanta Area of Responsibility
COLLIFL,COLLIER COUNTY SHERIFF,Miami Area of Responsibility
COLUMFL,COLUMBIA COUNTY JAIL,Miami Area of Responsibility
COLUMOR,COLUMBIA COUNTY JAIL,Seattle Area of Responsibility
COLUMPA,COLUMBIA COUNTY JAIL,Philadelphia Area of Responsibility
COMFTFL,COMFORT SUITES HOTEL,Miami Area of Responsibility
CONCOCA,CONTRA COSTA CO. JAIL,Los Angeles Area of Responsibility
CONCOLA,CONCORDIA PARISH C C,New Orleans Area of Responsibility
CONEJCO,CONEJOS COUNTY JAIL,Denver Area of Responsibility
CONWECA,CONTRA COSTA CO JAIL/WEST,San Francisco Area of Responsibility
COOCONH,COOS COUNTY JAIL,Boston Area of Responsibility
COOSCOR,COOS CO. JAIL,Seattle Area of Responsibility
COSTACA,COSTA MESA COLLEGE HOSP,Los Angeles Area of Responsibility
COWJVWA,COWLITZ CO. JUV. DET.,Seattle Area of Responsibility
CPPAPAZ,CROWNE PLAZA PHOENIX AP,NA
CRGHOLD,CRAIG HOLDROOM,Denver Area of Responsibility
CRIHOLD,CEDAR RAPIDS HOLD ROOM,St. Paul Area of Responsibility
CRMCFCA,COMMUNITY REG MED CENTER,San Francisco Area of Responsibility
CRPHOLD,CORPUS CHRISTI EOR HOLD ROOM,Harlingen Area of Responsibility
CRYCCTX,CRYSTAL CITY CORR. CENTER,San Antonio Area of Responsibility
CSANOLA,COMFORT SUITES ALEXANDRIA,NA
CSCLQTX,LA QUINTA WYNDHAM CASA DE PAZ,NA
CSCNWWA,NW ICE PROCESSING CTR,Seattle Area of Responsibility
CSDHOLD,COLO SPRINGS DEN HSI HOLD,NA
CSHEPTX,CHASE STE HOTEL ELP,NA
CSPHOLD,CASPER HOLDROOM,Denver Area of Responsibility
CSSCHVA,CENTRA SOUTHSIDE COMM HOSP,Washington Area of Responsibility
CSYJVNY,CASEY HOUSE SHELTER,New York City Area of Responsibility
CTLAFSL,LAFFAYETTE SHERIFF'S LOCK,Boston Area of Responsibility
CULBETX,CULBERSON COUNTY SHERIFF'S,El Paso Area of Responsibility
CULPEVA,CULPEPER CO. ADULT DET. CENTER,Washington Area of Responsibility
CUMBEME,CUMBERLAND COUNTY JAIL,Boston Area of Responsibility
CURRYNM,CURRY COUNTY DET FAC,El Paso Area of Responsibility
CVREGVA,CENTRAL VA REGIONAL JAIL,Washington Area of Responsibility
CWHCCMP,COMMONWEALTH HEALTHCARE CORP,San Francisco Area of Responsibility
DAKOTNE,DAKOTA COUNTY JAIL,St. Paul Area of Responsibility
DALCOTX,DALLAS COUNTY JAIL-LEW STERRETT,Dallas Area of Responsibility
DALHOLD,DALLAS F.O. HOLD,Dallas Area of Responsibility
DAUPHPA,"DAUPHIN CNTY JAIL, PA",Philadelphia Area of Responsibility
DAVIDTN,DAVIDSON CO. SHERIFF DEPT,New Orleans Area of Responsibility
DAWSOMT,DAWSON COUNTY JAIL,NA
DCDOCDC,DC DEPT OF CORRECTIONS,Washington Area of Responsibility
DEAPDMI,DEARBORN POLICE DEPT.,Detroit Area of Responsibility
DECCSMY,DELAWARE CORRECTION CENTER,Philadelphia Area of Responsibility
DEKABGA,DEKALB COUNTY JAIL,Atlanta Area of Responsibility
DEKALAL,DEKALB COUNTY DETENTION CENTER,New Orleans Area of Responsibility
DELAWPA,DELAWARE CO JAIL,Philadelphia Area of Responsibility
DENHOLD,DENVER HOLD ROOM,Denver Area of Responsibility
DENICDF,DENVER CONTRACT DETENTION FACILITY,Denver Area of Responsibility
DENIICO,Denver CDF II,Denver Area of Responsibility
DENVECO,DENVER COUNTY JAIL,Denver Area of Responsibility
DEPCOGU,DEPARTMENT OF CORRECTIONS,San Francisco Area of Responsibility
DETHOLD,"U.S. IMMIGRATION, DETROIT",Detroit Area of Responsibility
DHDFNJ,DELANEY HALL DETENTION FACILITY,Newark Area of Responsibility
DIIHBMD,DAYS INN INNER HARBOR BALTIMORE,NA
DISPTAZ,DRURY INN STES PHO TEMPE,NA
DISSATX,DRURY INN & STES SNA AP,NA
DLAMOCA,DEL AMO PSYCHIATRIC HOSPITAL,Los Angeles Area of Responsibility
DLRHOLD,DEL RIO DRO HOLD ROOM,San Antonio Area of Responsibility
DNHMCCO,DENVER HEALTH MEDICAL CENTER,NA
DOCORNE,DOUGLAS COUNTY CORRECTION,St. Paul Area of Responsibility
DODGEWI,"DODGE COUNTY JAIL, JUNEAU",Chicago Area of Responsibility
DONAANM,DONA ANA COUNTY DETENTION FACILITY,El Paso Area of Responsibility
DORCDSC,DORCHESTER CO DET CTR,NA
DORCHMD,DORCHESTER CO DET CNTR,NA
DOUGLCO,DOUGLAS COUNTY DETENTION CENTER,Denver Area of Responsibility
DOUGLOR,DOUGLAS CO. JAIL,Seattle Area of Responsibility
DOUGLWI,DOUGLAS CO. WISCONSIN,Chicago Area of Responsibility
DRCPCTX,DRT CPC HOLDING,NA
DRHCSTX,DIMMIT REGIONAL HOSPITAL,San Antonio Area of Responsibility
DRURYCO,DRURY INN,Denver Area of Responsibility
DSMCNTX,DSMC - DEL SOL MEDICAL CENTER,NA
DSMHOLD,DES MOINES HOLD ROOM,St. Paul Area of Responsibility
DSRTVCA,DESERT VALLEY HOSPITAL,NA
DULHOLD,DULUTH HOLD ROOM,NA
DURHOLD,DURANGO HOLDROOM,Denver Area of Responsibility
DVDHOLD,DOVER HOLDROOM,Philadelphia Area of Responsibility
DVHSPNV,DESERT VIEW HOSPITAL,Salt Lake City Area of Responsibility
EAGLECO,EAGLE COUNTY JAIL,Denver Area of Responsibility
EAZ,ELOY FED CTR FACILITY (CORE CIVIC),Phoenix Area of Responsibility
ECC,EL CENTRO SPC,NA
ECLECTX,ECTOR COUNTY L.E.C.,El Paso Area of Responsibility
ECMCBNY,ERIE COUNTY MEDICAL CENTER,Buffalo Area of Responsibility
ECOLOWA,ECONOLODGE MOTEL,Seattle Area of Responsibility
EDCHOLD,EDEN HOLD ROOM,NA
EDDCONM,EDDY COUNTY JAIL,El Paso Area of Responsibility
EDNBGTX,EDINBURG POLICE DEPT.,Harlingen Area of Responsibility
EDNDCTX,EDEN DETENTION CTR,Dallas Area of Responsibility
EDNHOLD,EDEN DET CTR HOLD ROOM,NA
EFMHMFL,ED FRASER MEMORIAL HOSPITAL,Miami Area of Responsibility
EHDLGTX,EAST HIDALGO DETENTION CENTER,Harlingen Area of Responsibility
ELGPDIL,ELGIN POLICE DEPT. JAIL,Chicago Area of Responsibility
ELKHAIN,ELKHART COUNTY JAIL,Chicago Area of Responsibility
ELMORID,ELMORE COUNTY JAIL,NA
ELPASCO,EL PASO COUNTY JAIL (CO),Denver Area of Responsibility
ELPCOTX,EL PASO COUNTY JAIL (TX),El Paso Area of Responsibility
ELVDFTX,EL VALLE DETENTION FACILITY,Harlingen Area of Responsibility
ELZICDF,ELIZABETH CONTRACT D.F.,Newark Area of Responsibility
EMBCRNC,EMBASSY SUITES BY HILTON,NA
EMBSATX,EMBASSY STE HLTN SNA AP,NA
EMBSYCO,EMBASSY SUITES HOTEL,Denver Area of Responsibility
EMESACA,EAST MESA DETENT FACILITY,San Diego Area of Responsibility
ENLMCCA,ENLOE MEDICAL CENTER,San Francisco Area of Responsibility
EPBHSTX,EL PASO BEHAVIORAL HEALTH SYSTEM,NA
EPC,EL PASO SPC,El Paso Area of Responsibility
EPCDFTX,EL PASO COUNTY DETENTION FACILITY,El Paso Area of Responsibility
EPCJUVI,EL PASO SPC JUVENILE,El Paso Area of Responsibility
EPCPCTX,EGP CPC HOLDING,NA
EPLTATX,EL PASO LTAC HOSPITAL,NA
ERICOPA,"ERIE COUNTY JAIL, PA",Philadelphia Area of Responsibility
ESAPAAZ,EXTENDED STAY AMERICA PHO AP,NA
ESHSATX,EMBASSY STE HLTN NW I-10,NA
ESSEXNJ,ESSEX COUNTY JAIL,Newark Area of Responsibility
ETOWAAL,ETOWAH COUNTY JAIL (AL),New Orleans Area of Responsibility
ETWHOLD,ETOWAH ERO HOLD ROOM,New Orleans Area of Responsibility
EUGHOLD,EUGENE HOLDROOM,Seattle Area of Responsibility
EULESTX,EULESS CITY JAIL,Dallas Area of Responsibility
EXTSAAZ,EXTENDED STAY AMERICA,NA
